Y轴坐标,主轴转速,Y轴功率,主轴功率,主轴负载,X轴负载,Y轴负载,Z轴负载,X轴电流,Y轴电流,Z轴电流,刃1磨损值,刃2磨损值,平均磨损值
82.776,5307.884,1.471,237.306,1.758,0.031,2.667,15.442,0.003,-0.479,-2.763,0.010579827,0.009235234,0.009907531
82.096,5308.228,1.471,228.517,1.752,0.098,2.618,15.405,-0.003,-0.473,-2.772,0.010621634,0.009337052,0.009979343
82.096,5308.228,1.471,228.517,1.752,0.098,2.618,15.405,-0.003,-0.473,-2.772,0.010665277,0.009382003,0.01002364
81.436,5308.113,1.471,237.306,1.758,0.073,2.924,15.234,-0.01,-0.509,-2.751,0.010676186,0.009851874,0.01026403
80.776,5308.342,1.471,237.306,1.77,0.146,2.698,15.344,-0.009,-0.484,-2.746,0.010776902,0.009859409,0.010318155
80.776,5308.342,1.471,237.306,1.77,0.146,2.698,15.344,-0.009,-0.484,-2.746,0.010969746,0.010022154,0.01049595
80.096,5308.113,1.471,237.306,1.764,0.092,2.74,15.265,-0.003,-0.514,-2.755,0.011111922,0.010060632,0.010586277
80.096,5308.113,1.471,237.306,1.764,0.092,2.74,15.265,-0.003,-0.514,-2.755,0.011120276,0.010166939,0.010643607
79.436,5309.429,1.471,237.306,1.758,0.104,2.942,15.356,0.002,-0.47,-2.729,0.011741765,0.010401157,0.011071461
79.436,5309.429,1.471,237.306,1.758,0.104,2.942,15.356,0.002,-0.47,-2.729,0.011899768,0.010481324,0.011190546
78.776,5308.056,1.471,237.306,1.77,0.024,2.649,15.057,0,-0.496,-2.714,0.011921454,0.010484625,0.011203039
78.776,5308.056,1.471,237.306,1.77,0.024,2.649,15.057,0,-0.496,-2.714,0.011939625,0.010570943,0.011255284
78.096,5307.541,1.471,237.306,1.776,0.104,2.814,15.07,0.012,-0.508,-2.714,0.012061161,0.010592042,0.011326602
78.096,5307.541,1.471,237.306,1.776,0.104,2.814,15.07,0.012,-0.508,-2.714,0.012331893,0.010881794,0.011606844
77.436,5308.514,1.471,237.306,1.782,0.024,2.582,15.436,0.019,-0.525,-2.721,0.012698682,0.010915421,0.011807051
77.436,5308.514,1.471,237.306,1.782,0.024,2.582,15.436,0.019,-0.525,-2.721,0.01280144,0.010975505,0.011888473
76.776,5307.426,1.471,237.306,1.782,0.159,2.686,15.155,0.015,-0.472,-2.741,0.012990621,0.011035348,0.012012984
76.096,5307.026,1.471,237.306,1.782,0.14,2.856,15.039,0.021,-0.494,-2.707,0.013197329,0.011170574,0.012183952
76.096,5307.026,1.471,237.306,1.782,0.14,2.856,15.039,0.021,-0.494,-2.707,0.013317101,0.011228396,0.012272748
75.436,5308.113,1.471,237.306,1.776,0.037,2.46,15.094,0.026,-0.489,-2.716,0.013606856,0.011749285,0.012678071
75.436,5308.113,1.471,237.306,1.776,0.037,2.46,15.094,0.026,-0.489,-2.716,0.013655314,0.01181552,0.012735417
74.776,5307.198,1.471,237.306,1.776,0.226,2.765,15.094,0.046,-0.484,-2.71,0.013862444,0.012018702,0.012940573
74.776,5307.198,1.471,237.306,1.776,0.226,2.765,15.094,0.046,-0.484,-2.71,0.014188634,0.012085957,0.013137295
74.096,5307.541,1.471,237.306,1.782,0.226,3.021,15.222,0.036,-0.508,-2.734,0.01449548,0.012308375,0.013401927
74.096,5307.541,1.471,237.306,1.782,0.226,3.021,15.222,0.036,-0.508,-2.734,0.014553898,0.012393228,0.013473563
73.436,5308.17,1.471,237.306,1.77,0.201,2.563,15.021,0.043,-0.521,-2.746,0.014929401,0.012487276,0.013708338
72.776,5308.342,1.471,237.306,1.764,0.122,2.887,15.167,0.034,-0.485,-2.731,0.014986544,0.012533218,0.013759881
72.776,5308.342,1.471,237.306,1.764,0.122,2.887,15.167,0.034,-0.485,-2.731,0.015237802,0.012649987,0.013943894
72.776,5308.342,1.471,237.306,1.764,0.122,2.887,15.167,0.034,-0.485,-2.731,0.01527212,0.012788838,0.014030479
72.096,5308.685,1.471,237.306,1.77,0.183,3.009,15.155,0.032,-0.55,-2.729,0.015365672,0.013015145,0.014190408
71.436,5308.743,1.471,237.306,1.764,0.171,2.753,14.935,0.036,-0.513,-2.729,0.015640495,0.013208296,0.014424395
71.436,5308.743,1.471,237.306,1.764,0.171,2.753,14.935,0.036,-0.513,-2.729,0.015761308,0.013393125,0.014577217
70.756,5308.113,1.471,237.306,1.764,0.134,2.863,15.1,0.022,-0.461,-2.746,0.016148474,0.013412293,0.014780384
70.756,5308.113,1.471,237.306,1.764,0.134,2.863,15.1,0.022,-0.461,-2.746,0.016218231,0.01343033,0.014824281
70.096,5308.571,1.471,237.306,1.764,0.092,2.887,15.277,0.021,-0.543,-2.745,0.016261174,0.013629255,0.014945214
70.096,5308.571,1.471,237.306,1.764,0.092,2.887,15.277,0.021,-0.543,-2.745,0.016564873,0.01388742,0.015226147
69.436,5308.056,1.471,237.306,1.764,0.159,2.844,15.039,0.014,-0.468,-2.724,0.016716841,0.014202725,0.015459783
68.756,5308.342,1.471,228.517,1.752,0.214,2.551,15.076,0.007,-0.467,-2.692,0.016792715,0.014204112,0.015498413
68.756,5308.342,1.471,228.517,1.752,0.214,2.551,15.076,0.007,-0.467,-2.692,0.016899003,0.014218716,0.015558859
68.096,5308.571,1.471,237.306,1.758,0.018,2.325,15.063,0.007,-0.432,-2.707,0.017070805,0.014651491,0.015861148
68.096,5308.571,1.471,237.306,1.758,0.018,2.325,15.063,0.007,-0.432,-2.707,0.017112107,0.014760822,0.015936464
67.436,5307.598,1.471,237.306,1.764,0.183,2.57,15.302,0.01,-0.479,-2.726,0.017118669,0.014999725,0.016059197
67.436,5307.598,1.471,237.306,1.764,0.183,2.57,15.302,0.01,-0.479,-2.726,0.017338861,0.015184553,0.016261707
66.756,5307.369,1.471,237.306,1.758,0.104,2.612,15.289,0.017,-0.441,-2.704,0.017587442,0.015359038,0.01647324
66.756,5307.369,1.471,237.306,1.758,0.104,2.612,15.289,0.017,-0.441,-2.704,0.017813245,0.015436981,0.016625113
66.096,5307.941,1.471,237.306,1.764,0.079,2.539,14.893,0.015,-0.461,-2.678,0.017876619,0.015475235,0.016675927
66.096,5307.941,1.471,237.306,1.764,0.079,2.539,14.893,0.015,-0.461,-2.678,0.018184703,0.016113397,0.01714905
65.436,5307.77,1.471,228.517,1.758,0.061,2.71,15.259,0.022,-0.535,-2.687,0.018292247,0.016351237,0.017321742
64.756,5307.999,1.471,228.517,1.752,0.061,2.716,15.204,0.022,-0.54,-2.687,0.018351116,0.016356991,0.017354053
64.756,5307.999,1.471,228.517,1.752,0.061,2.716,15.204,0.022,-0.54,-2.687,0.018390779,0.016620356,0.017505568
64.096,5308.342,1.471,228.517,1.752,0.195,2.734,14.905,0.022,-0.475,-2.69,0.018481632,0.016646044,0.017563838
64.096,5308.342,1.471,228.517,1.752,0.195,2.734,14.905,0.022,-0.475,-2.69,0.01868726,0.016725355,0.017706308
63.436,5307.369,1.471,228.517,1.746,0.049,2.765,14.954,0.019,-0.54,-2.666,0.018866198,0.01682513,0.017845664
63.436,5307.369,1.471,228.517,1.746,0.049,2.765,14.954,0.019,-0.54,-2.666,0.018895502,0.017043202,0.017969352
62.756,5307.655,1.471,228.517,1.74,0.037,2.625,14.899,0.017,-0.554,-2.695,0.019043327,0.017500974,0.01827215
62.756,5307.655,1.471,228.517,1.74,0.037,2.625,14.899,0.017,-0.554,-2.695,0.01909237,0.017566903,0.018329636
62.096,5308.285,1.471,228.517,1.733,0.153,2.789,14.929,0.022,-0.472,-2.687,0.019174526,0.017685506,0.018430016
62.096,5308.285,1.471,228.517,1.733,0.153,2.789,14.929,0.022,-0.472,-2.687,0.019476429,0.017710753,0.018593591
61.436,5307.541,1.471,228.517,1.733,0.085,2.551,14.886,0.022,-0.473,-2.704,0.019659525,0.017760246,0.018709886
60.756,5307.713,1.471,228.517,1.733,0.159,2.698,14.825,0.031,-0.484,-2.716,0.019780983,0.017811695,0.018796339
60.756,5307.713,1.471,228.517,1.733,0.159,2.698,14.825,0.031,-0.484,-2.716,0.01981184,0.018061689,0.018936765
60.096,5308.685,1.471,228.517,1.727,0.177,2.74,14.996,0.027,-0.502,-2.698,0.020774229,0.018073776,0.019424003
60.096,5308.685,1.471,228.517,1.727,0.177,2.74,14.996,0.027,-0.502,-2.698,0.020893492,0.018410029,0.019651761
59.436,5308.056,1.471,228.517,1.733,0.116,2.85,14.825,0.027,-0.523,-2.698,0.021867663,0.01841941,0.020143536
59.436,5308.056,1.471,228.517,1.733,0.116,2.85,14.825,0.027,-0.523,-2.698,0.022174673,0.018443367,0.02030902
58.756,5307.77,1.471,228.517,1.746,0.104,3.162,14.96,0.021,-0.502,-2.712,0.022381194,0.018746081,0.020563637
58.756,5307.77,1.471,228.517,1.746,0.104,3.162,14.96,0.021,-0.502,-2.712,0.022404003,0.018907217,0.02065561
58.096,5307.941,1.471,228.517,1.733,0.079,2.863,15.24,0.015,-0.535,-2.734,0.022592178,0.018971041,0.020781609
58.096,5307.941,1.471,228.517,1.733,0.079,2.863,15.24,0.015,-0.535,-2.734,0.022618768,0.019202835,0.020910801
57.436,5308.399,1.471,228.517,1.733,0.128,3.284,15.082,0.009,-0.52,-2.721,0.02276643,0.01925104,0.021008735
56.756,5307.827,1.471,228.517,1.74,0.134,3.333,15.082,0.002,-0.521,-2.712,0.022897697,0.019624892,0.021261295
56.756,5307.827,1.471,228.517,1.74,0.134,3.333,15.082,0.002,-0.521,-2.712,0.023048816,0.019665819,0.021357318
56.096,5308.285,1.471,228.517,1.74,0.037,2.948,15.051,0.003,-0.557,-2.702,0.023159439,0.01970538,0.021432409
56.096,5308.285,1.471,228.517,1.74,0.037,2.948,15.051,0.003,-0.557,-2.702,0.023477991,0.019986282,0.021732137
56.096,5308.285,1.471,228.517,1.74,0.037,2.948,15.051,0.003,-0.557,-2.702,0.023623058,0.020549417,0.022086237
55.436,5308.743,1.471,228.517,1.733,0.189,3.137,15.125,0.002,-0.549,-2.693,0.023728358,0.020567452,0.022147905
54.756,5308.857,1.471,228.517,1.733,0.159,2.985,15.192,0.012,-0.47,-2.68,0.023991615,0.020597552,0.022294583
54.756,5308.857,1.471,228.517,1.733,0.159,2.985,15.192,0.012,-0.47,-2.68,0.023993201,0.020602786,0.022297994
54.096,5307.312,1.471,228.517,1.733,0.061,2.826,14.85,0.015,-0.511,-2.673,0.023995253,0.020846136,0.022420694
54.096,5307.312,1.471,228.517,1.733,0.061,2.826,14.85,0.015,-0.511,-2.673,0.024070704,0.020894667,0.022482685
